#,单词,音标,解释,笔记 
932,"scale","英:/skeɪl/ 美:/skel/","scale
  [scaled, scaled, scaling]
 scale down/back 
  1.   scale down/back sth • scale sth down/back if a government, company etc scales something down, they make it smaller or do less of it than they did before or than they originally planned:
   ▪ Conner Peripherals Inc said yesterday that it would be scaling down production and reducing staffing levels by 10%.
   ▪ Since the end of the Cold War NATO countries have been scaling back their armed forces.
   ▪ Several countries have scaled down their plans for expanding nuclear power.
   ▪ The whole industry is scaling back.
   ■ SIMILAR TO: ↑reduce, ↑cut back
   ■ OPPOSITE: scale up
    scaled-down/scaled-back adj  reduced or made smaller:
   ▪ The planning committee eventually agreed on a scaled-down version of the project.
    scaling-down n  singular when something is scaled down:
   ▪ scaling down of the coal industry
  2.   scale down sth • scale sth down to reduce the size of something such as a drawing or a model of something:
   ▪ The design might not look so good when it is scaled down for reproduction in newspapers and magazines.
   ■ OPPOSITE: scale up
    scaled-down adj  reduced to a smaller size:
   ▪ a scaled-down model of the statue
 scale up 
  1.   scale up sth • scale sth up if a government, company etc scales something up, they make it bigger or do more of it than they did before or than they originally planned:
   ▪ The company is scaling up production of mobile phones to take advantage of the increasing demand.
   ■ SIMILAR TO: increase
   ■ OPPOSITE: scale down
  2.   scale up sth • scale sth up to increase the size of something such as a drawing or a model of something:
   ▪ Does the software allow graphics to be scaled up or down?
   ■ OPPOSITE: scale down",
933,"scenario","英:/sɪ'nɑːrɪəʊ/ 美:/sə'nærɪo/","n. 情节；剧本；方案",
934,"scheme","英:/skiːm/ 美:/skim/","- vt. & vi. 策划；图谋
- n. 阴谋，诡计
- 计划，方案

时 态:  
schemed，scheming，schemes 

名 词:  
schemer",
935,"schism","英:/'sɪz(ə)m/ 美:/'skɪzəm/","n. 教会分立,分裂",
936,"schwa","英:/ʃwɑː/ 美:/ʃwɑ/","n. [语]非中央元音",
937,"scribe","英:/skraɪb/ 美:/skraɪb/","n. (印刷术发明之前的)抄写员, 抄书吏

时 态:  
scribed, scribing, scribes 

形容词:  
scribal",
938,"script","英:/skrɪpt/ 美:/skrɪpt/","- n. 手迹；脚本；书写用的字母
- vt. 把…改编为剧本
- vi. 写电影脚本


时 态:  
scripted, scripting, scripts",
939,"scrutiny","英:/'skruːtɪnɪ/ 美:/'skrutəni/","n. 监视；详细审查；细看；选票复查",
940,"scythe","英:/saɪð/ 美:/saɪð/","n. (长柄)大镰刀

时 态:  
scythed, scything, scythes",
941,"secondary","英:/'sek(ə)nd(ə)rɪ/ 美:/'sɛkəndɛri/","- adj. 次要的, 次等的
- 中级的, 第二的

副 词:  
secondarily",
942,"secretive","英:/'siːkrɪtɪv/ 美:/'sɪkrətɪv/","adj. 遮遮掩掩的,守口如瓶的,秘密的

副 词:  
secretively

名 词:  
secretiveness",
943,"secular","英:/'sekjʊlə/ 美:/'sɛkjəlɚ/","adj.  世俗的；长期的；现世的；不朽的
n. 修道院外的教士，(对宗教家而言的) 俗人

副 词:  
secularly",
944,"secure","英:/sɪ'kjʊə/ 美:/sə'kjʊr/","- adj. 牢固的；可靠的
- 有把握的；确切的
- vt. 握紧；关牢
- 使安全
- (使)获得；把…弄到手

比较级:  
securer，securest 

形容词:  
securable

副 词:  
securely

名 词:  
securement

名 词:  
securer",
945,"sedate","英:/sɪ'deɪt/ 美:/sɪˈdet/","- adj. 沉着的；安详的；平静的
- vt. 使昏昏入睡，使镇静

时 态:  
sedated，sedating，sedates 

副 词:  
sedately

名 词:  
sedateness",
946,"sedentary","英:/'sed(ə)nt(ə)rɪ/ 美:/'sɛdntɛri/","- adj. 坐着的
-  (指工作等)坐着干的,案头的
-  (指人)不爱活动的

副 词:  
sedentarily

名 词:  
sedentariness",
947,"semantics","英:/sɪ'mæntɪks/ 美:/sə'mæntɪks/","n. 语义学",
948,"semiconductor","英:/ˌsemɪkən'dʌktə/ 美:/ˌsɛmɪkən'dʌktɚ/","n. 〈物〉半导体

形容词:  
semiconducting",
949,"sensitive","英:/'sensɪtɪv/ 美:/'sɛnsətɪv/","- adj. 易受伤害的，易损坏的；易受影响的；敏感的
- 易生气的；感情容易冲动的；神经质的
- 〈褒〉有细腻感情的；同情理解的
- (指仪器等)灵敏的
- 需要小心处理(以免引起麻烦或冒犯)的，敏感的，微妙的

副 词:  
sensitively

名 词:  
sensitiveness",
950,"sensitivity","英:/sensɪ'tɪvɪtɪ/ 美:/'sɛnsə'tɪvəti/","n. 敏感;敏感度",
951,"sentiment","英:/'sentɪm(ə)nt/ 美:/'sɛntɪmənt/","- n. (对怜悯、怀旧等的)柔情
- 态度或意见
- 观点; 意见",
952,"sentimentality","英:/ˌsentɪmen'tælɪtɪ/ 美:/ˌsɛntɪmɛn'tæləti/","n. 多愁善感,感伤癖",
953,"sentry","英:/'sentrɪ/ 美:/'sɛntri/","n. 哨兵, 步兵",
954,"serf","英:/sɜːf/ 美:/sɝf/","n. 农奴；奴隶；被压迫者

SERFabbr. Studies of the Economics of Route Facilities 道路设施经济性研究(联合国ICAO的一个组)

名 词:  
serfdom",
955,"severely","英:/si'viəli/ 美:/səˈvɪrlɪ/","- adv. 严格地
- 严厉地
- 严重地
- 严肃地
- 朴实无华地",
956,"sewage","英:/'suːɪdʒ/ 美:/'sʊɪdʒ/","n. 污水；污物；下水道",
957,"shallow","英:/'ʃæləʊ/ 美:/'ʃælo/","- adj. 浅的；肤浅的
- n. 浅滩
- vt. 使变浅
- vi. 变浅


比较级:  
shallower, shallowest 

副 词:  
shallowly",
958,"share","英:/ʃeə/ 美:/ʃɛr/","share
  [shared, shared, sharing]
 share out 
     share out sth • share sth out BrE to divide something into smaller amounts, and then give an amount to each person in a group:
   ▪ Take these cookies and share them out.
   + between
   ▪ We've got three pizzas to share out between five people.
   +among/amongst
   ▪ The business is obviously very profitable, but the profits are not fairly shared out among those who are helping to generate them.
   ■ SIMILAR TO: ↑divide up, ↑divvy up  informal
    share-out n  C when something is shared out between people:
   ▪ the unequal share-out of education cash in South Africa under apartheid",
959,"shiver","英:/'ʃɪvə/ 美:/'ʃɪvɚ/","- n. 颤抖，战栗；碎片
- vi. 颤抖；哆嗦；打碎
- vt. 颤抖；打碎


时 态:  
shivered, shivering, shivers",
960,"shivery","英:/'ʃɪv(ə)rɪ/ 美:/ˈʃɪvəri/","adj. (指人因寒冷、发烧或害怕而)颤抖的,发抖的",
961,"shone","英:/ʃɒn/ 美:/ʃon/","vi. 发光（shine的过去式及过去分词）",
962,"short","英:/ʃɔ:t/ 美:/ʃɔrt/","- adj. 短的；不足的；急速的；唐突的
- adv. 突然；不足；唐突地
- n. 短；缺乏；短路；短裤

Short肖特(姓氏)

比较级:  
shorter, shortest 

名 词:  
shortness",
963,"shot down","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
964,"shout","英:/ʃaʊt/ 美:/ʃaʊt/","shout
  [shouted, shouted, shouting]
 shout down 
     shout sb down • shout down sb to shout loudly while someone is talking because you want to prevent them from being heard:
   ▪ Several students stood up to protest, but they were quickly shouted down.
   ▪ Opposition MPs tried to shout him down, but he carried on with his speech.
 shout out 
     shout out sth • shout sth out • shout out to suddenly shout something or say something in a loud voice:
   ▪ Someone in the audience shouted out &quot;Get on with it!&quot;
   ▪ Maria could hear people screaming and laughing and shouting out her name.
   ■ SIMILAR TO: ↑call out, yell out",
965,"shove","英:/ʃʌv/ 美:/ʃʌv/","shove
  [shoved, shoved, shoving]
 shove around 
     shove sb around/about informal to tell someone what to do in a rude or unpleasant way, without considering what they want:
   ▪ I left my old job because I was fed up with being shoved around.
   ■ SIMILAR TO: ↑push around, ↑boss around
 shove off 
  1.  shove off! spoken informal used to rudely tell someone to go away, especially when you are annoyed with them or they are disturbing you:
   ▪ Shove off, Gerry. I don't want you here.
   ■ SIMILAR TO: push off!  BrE spoken informal, ↑buzz off  spoken informal, ↑clear off  spoken informal, especially BrE
  2.   shove off informal to leave somewhere:
   ▪ Apparently the entire team had shoved off for a fortnight's holiday in Bermuda.
   ■ SIMILAR TO: ↑leave
 shove up 
    shove up! spoken informal used to tell someone to move a little in order to make space for someone else:
   ▪ If you shove up a bit, we can all get in the back seat.
   ■ SIMILAR TO: ↑move up, ↑budge up  BrE informal",
966,"shovel","英:/'ʃʌv(ə)l/ 美:/'ʃʌvl/","- n. 铁铲；一铲的量；铲车
- vt. 用铲挖；铲除；把…胡乱塞入
- vi. 铲


时 态:  
shoveledalso shovelled 
shovelingshovelling 
shovelsshovels",
967,"shoveled","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
968,"Siberia","/sai'biəriə/","西伯利亚

形容词:  
Siberian",
969,"side","英:/saɪd/ 美:/saɪd/","side
  [sided, sided, siding]
 side against 
     side against sb to join together with other people in order to oppose another person, country, or group:
   ▪ My proposal was turned down, because a number of my colleagues sided against me at the last minute.
   ■ SIMILAR TO: going up against sb
   ■ OPPOSITE: side with
 side with 
     side with sb  not passive to support a person, country, or group in an argument or fight:
   ▪ Klein was shocked to find that when he and Vanessa split up, most of his friends sided with her.
   ▪ In 1977 the Soviet Union sided with Ethiopia in the conflict.
   ■ OPPOSITE: side against",
970,"sideways","英:/'saɪdweɪz/ 美:/'saɪdwez/","- adv. 向侧面地；向一旁
- adj. 向侧面的；一旁的",
971,"silk","英:/sɪlk/ 美:/sɪlk/","- n. 蚕丝；丝绸；丝织物
- adj. 丝的；丝制的；丝绸的
- vi. （玉米）处于长须的阶段中


时 态:  
silked, silking, silks",
972,"simply","英:/'sɪmplɪ/ 美:/'sɪmpli/","adv. 简单地；朴素地；简直；仅仅；坦白地",
973,"single out","","single out
     single out sb/sth • single sb/sth out to choose someone or something from among a group of similar people or things, especially in order to praise them or criticize them:
   ▪ She singled out Brad Pitt as her favourite actor.
   + for
   ▪ Teachers should not single out students for special treatment.
   ■ SIMILAR TO: ↑pick out",
974,"singlet","英:/'sɪŋglɪt/ 美:/ˈsɪŋɡlɪt/","n. 汗衫,单衬衣",
975,"sirens","/'saiərən/","- n. 汽笛，警报器（siren的复数）
- v. 引诱；鸣笛行驶（siren的第三人称单数）",
976,"site","英:/saɪt/ 美:/saɪt/","- n. 位置，场所，地点
- vt. 使坐落在；设置

时 态:  
sited，siting，sites",
977,"slam","英:/slæm/ 美:/slæm/","slam
  [slammed, slammed, slamming]
 slam down 
     slam down sth • slam sth down to hit something against a surface quickly and violently:
   ▪ He slammed the phone down, yelling &quot;What's going on out there?&quot;
   ▪ I slammed my fist down on the table and told him I wouldn't be treated this way.
   ■ SIMILAR TO: ↑bang down
 slam into 
     slam into sth/sb to crash into something with a lot of force:
   ▪ The Ford's brakes failed and it mounted the pavement, slamming into a lamp-post.
   ▪ All 155 passengers died instantly when the plane slammed into the Tinpane mountain on Monday.
   ■ SIMILAR TO: crash (into)
 slam on 
    slam on the brakes to suddenly put your foot hard on the brake in order to stop your car:
   ▪ The driver slammed on the brakes, but it was too late.
   ■ SIMILAR TO: jam on the brakes",
978,"slide","英:/slaɪd/ 美:/slaɪd/","- vt. & vi. 滑动；滑行
- vi. 滑落，跌落
- n. 滑行，滑落
- 幻灯片

时 态:  
slid 
sliding，slides",
979,"slightly","英:/ˈslaɪtli:/ 美:/'slaɪtli/","- adv. 轻微地;稍稍
- 细长;苗条;微小",
980,"sling","英:/slɪŋ/ 美:/slɪŋ/","- n. 投石器；吊索；抛掷
- vt. 用投石器投掷；吊起


时 态:  
slung 
slinging, slings 

名 词:  
slinger",
981,"slit","英:/slɪt/ 美:/slɪt/","- vt. 撕裂；使有狭缝
- n. 裂缝；投币口
- vi. 纵裂


时 态:  
slit, slitting, slits 

名 词:  
slitter

形容词:  
slitty",
982,"slope","英:/sləʊp/ 美:/slop/","slope
  [sloped, sloped, sloping]
 slope away 
     slope away if the ground slopes away, it goes downwards:
   ▪ In front of the farmhouse the land slopes away towards the river.
 slope off 
     slope off BrE informal to leave somewhere quietly and secretly, especially to avoid work, trouble etc:
   ▪ He must have sloped off home when no one was looking.
   ▪ Scenting our dogs, the wolf turned away and sloped off into the forest.
   ■ SIMILAR TO: ↑slip off",
983,"slump","英:/slʌmp/ 美:/slʌmp/","- vi. 大幅度下降, 暴跌
- 沉重或突然地落下[倒下]
- n. 萧条期
- 〈美〉(个人、球队等的)低潮状态

时 态:  
slumped, slumping, slumps",
984,"snag","英:/snæg/ 美:/snæɡ/","- n. (尤指潜伏的)困难，(未料到的)障碍
- 尖利的突出物
- 被刮破或钩坏的裂口
- vt. (被尖锐物)挂住，钩住
- 迅速抓到；抢到

时 态:  
snagged，snagging，snags 

形容词:  
snaggy",
985,"snap at","","厉声斥责, 企图去咬",
986,"snapshot","英:/'snæpʃɒt/ 美:/'snæpʃɑt/","n. (拍)快照",
987,"snarl","英:/snɑːl/ 美:/snɑrl/","snarl
  [snarled, snarled, snarling]
 snarl up 
  1.   snarl up • snarl up sth if traffic snarls up or is snarled up, the cars cannot move freely because the road is blocked or too busy:
   ▪ The traffic was snarled up at the next junction.
   ▪ Drivers were swearing as they got snarled up in the midday Cairo traffic.
    snarl-up n  C when traffic cannot move freely because the road is blocked or there are too many cars:
   ▪ snarl-ups on roads out of Paris
  2.   snarl up • snarl up sth • snarl sth up if a system or process snarls up or is snarled up, it stops working because there is too much work to deal with:
   ▪ The huge number of cases has snarled up the court process.
    snarl-up n  C when something such as an official process cannot work smoothly:
   ▪ delays caused by snarl-ups at the passport office
  3.  be snarled up to be caught in something such as a net, a mass of branches etc, and be unable move:
   ▪ Dolphins sometimes get snarled up in the nets.
   ■ SIMILAR TO: be caught (up) in",
988,"sneak","英:/sniːk/ 美:/snik/","sneak
  [sneaked or snuck especially AmE , sneaked or snuck especially AmE , sneaking]
 sneak on 
     sneak on sb BrE informal to tell someone such as an employer, parent or teacher that another person has done something wrong, because you want to cause trouble for that person:
   ▪ She didn't want the other girls to think that she was sneaking on them behind their backs.
   ■ SIMILAR TO: ↑rat on  informal, ↑tattle on  AmE informal
 sneak up 
     sneak up to come near to someone very quietly, so that they do not hear or see you until you reach them:
   ▪ Kate sneaked up behind him and put her hands over his eyes.
   + on
   ▪ A couple of rough-looking kids snuck up on him in a dark alley and robbed him of all his money.
   ■ SIMILAR TO: ↑creep up on",
989,"sniffing","/snɪf/","n. 探查法",
990,"snoozing","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
991,"snug","英:/snʌg/ 美:/snʌɡ/","- adj. 舒适的；紧身的；温暖的；隐藏的
- vt. 使变得温暖舒适；隐藏
- vi. 偎依；舒适地蜷伏
- n. 舒适温暖的地方；雅室


比较级:  
snugger, snuggest 

名 词:  
snugness",
992,"soap powder","","肥皂粉",
993,"soar","英:/sɔː/ 美:/sɔr/","- vi. 高飞, 翱翔
- 猛增
- 高耸, 屹立

时 态:  
soared, soaring, soars 

名 词:  
soarer",
994,"soaring","英:/'sɔ:riŋ/ 美:/ˈsɔrɪŋ/","adj. 高飞的,翱翔的",
995,"soever","英:/səʊ'evə/ 美:/so'ɛvɚ/","adv. 任何，不论何种；无论",
996,"solace","英:/'sɒlɪs/ 美:/ˈsɑlɪs/","- n. 安慰；安慰物
- vt. 安慰；慰藉

时 态:  
solaced，solacing，solaces",
997,"sole","英:/səʊl/ 美:/sol/","- n. 鞋底；脚底；基础；鳎目鱼
- adj. 唯一的；单独的；仅有的
- vt. 上鞋底；触底


时 态:  
soled, soling, soles",
998,"somatotype","英:/'səʊmətə(ʊ)taɪp/ 美:/ˌso'mætaɪp/","- n. 体型分类
- v. 按体型分类",
999,"soon","英:/suːn/ 美:/sun/","- adv. 不久；即刻，马上
- 早；快
- 宁可；宁愿

比较级:  
sooner，soonest",
1000,"sorption","英:/'sɔːpʃ(ə)n/ 美:/'sɔrpʃən/","n. 吸附作用；吸着作用；吸收作用


形容词:  
sorptive",
1001,"sort out","","sort out
  1.   sort out sth • sort sth out especially BrE to successfully deal with a problem, a difficult situation, or a disagreement:
   ▪ The Irish star revealed that she went to a psychiatrist to sort out her problems.
   ▪ the role of the United Nations in sorting out international disputes
   get it sorted out
   ▪ I'll be glad when we've got everything sorted out.
   sort yourself out/sort out your life (=deal with your personal problems and difficulties so that you can have a normal life)
   ▪ Fergie should be left in peace to sort out her life. She's had enough drama lately.
   ▪ You've got to try and stop drinking and sort yourself out.
   ■ SIMILAR TO: ↑deal with, ↑resolve  formal
  2.  sort itself out if a situation sorts itself out, it stops being a problem without anyone trying to do anything:
   ▪ Don't worry. I'm sure it'll all sort itself out in the end.
  3.   sort out sth • sort sth out to arrange or organize things so that they are no longer untidy or badly organized, or so that they are ready to be used:
   ▪ Ally wanted me to help her sort out the house.
   ▪ We need to sort out our camping gear before we go away on holiday.
   ▪ Beaverbrook has until November 9 to sort out his financial affairs.
   ■ SIMILAR TO: put sth in order
    sort-out n  singular BrE informal when you make a place tidy and get rid of the things you do not need:
   ▪ Cathy's room could do with a good sort-out.
  4.   sort out sth • sort sth out especially BrE to arrange to get something or to arrange for something to be done:
   ▪ Working mothers often have difficulty sorting out childcare.
   ▪ I'll call the airline and see if they can sort something out about the tickets.
  5.   sort out sth • sort sth out especially BrE to make final decisions about something that is planned to happen by discussing it with other people and dealing with all the things that are connected with it:
   ▪ The Manchester United star is set to travel north to sort out the details of his new contract.
   ▪ Have you sorted out where you're going to live?
   ▪ You'd have thought by now they would have sorted it out.
   ■ SIMILAR TO: finalize
  6.   sort out sth • sort sth out to separate one type of thing from another:
   ▪ Steve had spotted the letter while sorting out mail for first class delivery.
   sort out sth from sth (=separate one type of thing from another)
   ▪ Always sort out the whites from the other clothes, and never put them together in the same wash.
  7.   sort out sb • sort sb out BrE informal to stop someone from causing problems or annoying you, for example by attacking them or punishing them:
   ▪ They had a big fight, and she had to call in the police to sort him out.
   ▪ He said if I ever went near his girlfriend again, he'd come round with his mates and sort me out.",
1002,"sour","英:/saʊə/ 美:/'saʊɚ/","- adj. 有酸味的，酸的
- 有发酵味道的，酸腐的，馊的
- 坏脾气的；别扭的
- vt. & vi. (使某物)变酸，变馊；(使某人)阴郁

比较级:  
sourer，sourest 

形容词:  
sourish

副 词:  
sourly

名 词:  
sourness",
1003,"sourpuss","英:/'saʊəpʊs/ 美:/'saʊɚpʊs/","n. 讨人嫌的家伙；牢骚满腹的人",
1004,"Spam","英:/spæm/ 美:/spæm/","兜售信息(邮件，广告，新闻，文章)，非索要信息

时 态:  
spammed, spamming, spams",
1005,"spanned","/spænd/","adj. (细胞或微生物的培养)生活期有限的",
1006,"spare","英:/speə/ 美:/spɛr/","- vt. 节省，节约，舍不得，吝惜
- 抽出，让给，分出，匀出，腾出
- 省去，免除
- 饶恕，赦免，不伤害
- adj. 多余的；备用的
- 薄弱的，瘦的
- n. 备用零件；备用轮胎

时 态:  
spared，sparing，spares 

副 词:  
sparely

名 词:  
spareness

名 词:  
sparer",
1007,"spawned","","v. 孵出；引起（spawn的过去分词）",
1008,"specify","英:/'spesɪfaɪ/ 美:/'spɛsɪfaɪ/","vt. 指定；列举；详细说明；把…列入说明书


时 态:  
specified, specifying, specifies 

名 词:  
specifier",
1009,"spectra","英:/'spektrə/ 美:/'spɛktrə/","n. 范围,光谱",
1010,"speculation","英:/ˌspekjʊ'leɪʃn/ 美:/ˌspɛkju'leʃən/","- n. 思考，思索
- 推断，推测；猜测
- 投机活动
- 投机买卖，投机生意",
1011,"spill","英:/spɪl/ 美:/spɪl/","spill
  [spilled also spilt especially BrE , spilled also spilt especially BrE , spilling]
 spill out 
  1.   spill out if something spills out of a container, it comes out of it or pours out of it, usually by accident and in an untidy way:
   ▪ Some clothes had spilled out of her suitcase.
   ▪ Wine spilled out in a small pool, red and dark, like a bloodstain.
   ■ SIMILAR TO: ↑pour out
  2.   spill out if people spill out of a place, they come out in large numbers, usually in a disorganized way:
   ▪ After the concert ended, the audience began spilling out onto the road,
   ▪ A coachload of tourists spilled out and hurried to the cliff-top to admire the view.
   ■ SIMILAR TO: ↑pour out
  3.   spill out sth • spill sth out • spill out if you spill out something or it spills out, you suddenly start to talk about it - use this especially about something that was secret or that was upsetting you:
   ▪ American TV shows are full of people spilling out details of their private lives.
   ▪ Christina put a motherly arm around her shoulder, and the whole story came spilling out
 spill over 
  1.   spill over if something in a container spills over, it pours over the edge, usually because the container is too full:
   ▪ Make sure that the milk doesn't spill over.
   ▪ The beer rose up the glass and began to spill over.
  2.   spill over if a problem or a bad situation spills over, it spreads and starts to affect other places, people etc
   + into
   ▪ The fighting had spilled over into Thailand,
   ▪ The effects of the recession spilled over into almost every aspect of American life.
    spillover n  singular when a situation spreads and affects other people, places etc:
   ▪ Politicians are worried about the possible spillover if Scotland is given full independence.
  3.   spill over to develop into a much worse feeling or situation, so that people become violent or start a war
   + into
   ▪ Years of hurt and frustration had spilled over into violence.
   ▪ fears that the conflict between the two Superpowers might spill over into a full-scale nuclear war",
1012,"spilt","英:/spɪlt/ 美:/spɪlt/","spill的过去式及过去分词",
1013,"spit","英:/spɪt/ 美:/spɪt/","spit
  [spat, spat, spitting]
 spit out 
  1.   spit out sth • spit sth out to make something come out of your mouth by blowing it, in order to get rid of it:
   ▪ Rawls spat out a big watermelon seed, which landed somewhere in the corner of the room.
  2.  spit it out! spoken used to ask someone to tell you something that they seem too frightened or embarrassed to say:
   ▪ Come on man, spit it out!
 spit up 
     spit up • spit up sth AmE if a baby spits up, they bring food or drink up from their stomach out through their mouth.:
   ▪ The baby spat up on my shirt and now I have to have it dry cleaned.",
1014,"spiteful","英:/'spaɪtfʊl/ 美:/'spaɪtfl/","adj. 怀恨的，恶意的


副 词:  
spitefully",
1015,"spooky","英:/'spu:ki/ 美:/ˈspuki/","adj. 使人想到鬼的；吓人的

比较级:  
spookier，spookiest  

副 词:  
spookily",
1016,"spouse","英:/spaʊz/ 美:/spaʊs/","n. 配偶, 夫或妻

时 态:  
spoused, spousing, spouses",
1017,"spread out","","spread out
  1.   spread out sth • spread sth out to open something that is folded and lay it flat on a surface:
   ▪ Sandison spread out the map on the table and studied it closely.
   ▪ He spread a towel out on the sand and sat down.
   ■ SIMILAR TO: ↑lay out
  2.   spread out sth • spread sth out to arrange a group of things on a surface, so that you can look at them or use them:
   ▪ They put a rug down on the ground and spread all the food out on it.
   ■ SIMILAR TO: ↑lay out
  3.  spread out/be spread out to cover a large area - use this especially about a city, area of land etc that you are looking at from above:
   ▪ The lights of the city spread out in front of them.
   ▪ The wide sweep of the Bay of Naples spread out far below us
   ▪ Then Napoleon turned and surveyed the camp spread out before him.
  4.  be spread out if a group of people or things are spread out, they cover a wide area and are far apart from each other:
   ▪ Books and records were spread out all over the floor.
   ▪ In many African countries the population is spread out over a huge area.
  5.   spread out sth • spread sth out to move your arms, legs, fingers etc, and stretch them so that there is a wide space between them
   spread out your arms/legs/fingers etc
   ▪ Diane leant back and spread out her arms along the back of the sofa.
   ▪ The officer made him spread his legs out, then searched through his pockets to see if he was carrying a weapon.
   spread out its wings
   ▪ The eagle spread out its wings and soared down into the valley below.
   ■ SIMILAR TO: ↑stretch out
  6.   spread out if a group of people spread out, they move apart from each other so that they cover a wider area:
   ▪ He ordered his men to spread out and search the surrounding fields.
   ■ SIMILAR TO: ↑fan out
  7.   spread out • spread out sth • spread sth out to move outwards and cover a wide area, or to make something do this:
   ▪ Shock waves spread out from the epicenter of the earthquake.
   ▪ Spread out the pastry so that it covers all of the bottom of the dish.
  8.   spread out sth • spread sth out to arrange for something to happen or be done in stages over a period of time
   + over
   ▪ You can spread out the cost over a year and pay a little each month.
   ■ SIMILAR TO: stagger
  9.   spread out to stretch out your body so that it covers a wide area, or move your things so that they cover a wide area, especially so that you feel you have plenty of space:
   ▪ The good thing about having a big house is that it gives you more room to spread out.
  10.   spread out if a period of time spreads out in front of you, you can imagine what it will be like and you know what will happen:
   ▪ A bright future spread out before him.
   ■ SIMILAR TO: ↑lie ahead",
1018,"sputter","英:/'spʌtə/ 美:/'spʌtɚ/","sputter
  [sputtered, sputtered, sputtering]
 sputter out 
     sputter out if an engine or machine sputters out, it makes a series of quick short sounds and gradually stops working:
   ▪ The engine sputtered out, and Melinda steered the car to the side of the road.",
1019,"square","英:/skweə/ 美:/skwɛr/","square
  [squared, squared, squaring]
 square away 
     square sth away  usually passive AmE to finish or make something ready, especially by adding final details:
   ▪ Peter needs another day to get things squared away at home.
   ■ SIMILAR TO: ↑finish off  especially BrE
 square off 
     square off AmE to fight or play against someone in a sport:
   ▪ Arizona and Stanford square off in the Rose Bowl on Sunday.
   + against
   ▪ A few hundred youths squared off against police at the Alma bridge.
 square up 
  1.   square up informal to pay someone money that you owe them, especially after discussing together how much you owe:
   ▪ I'll pay for the drinks now and we can square up later.
   + with
   ▪ Sandy had better square up with the credit card company soon.
   ■ SIMILAR TO: ↑settle up
  2.   square up BrE to prepare to fight or compete with someone:
   ▪ Watch Channel Five tonight as Mike Tyson squares up to Evander Holyfield.
   ▪ Sixty schools are squaring up to compete in the Northern Echo Schools Cricket Championships.
 square up to 
     square up to sb/sth BrE informal to deal with a difficult situation or person in a determined way:
   ▪ Kathleen finally squared up to her brother and refused to lend him any more money.
   ■ SIMILAR TO: ↑face up to
 square with 
  1. square with if something such as an action, statement, or idea squares with something else, it seems right or similar when compared with it:
   ▪ Denise's behaviour squares with her beliefs about animal rights.
   ▪ His story didn't square with the witnesses' testimonies.
    square sth with sth if you square two actions, statements, ideas etc with each other, you show that they are right or similar when compared with each other:
   ▪ How can you square such violent actions with your religious beliefs?
  2.   square sth with sb to get someone to allow or agree to something:
   ▪ I'll take the day off if I can square it with my boss.
   ■ SIMILAR TO: ↑clear",
1020,"squirrel","英:/'skwɪr(ə)l/ 美:/'skwɝəl/","squirrel
  [squirreled, squirreled, squirreling]
 squirrel away 
     squirrel away sth • squirrel sth away to save something and put it in a safe or secret place so that you can use it at a later time:
   ▪ Hasselhof had several million dollars squirreled away in Swiss bank accounts.
   ▪ I took the candy and squirreled it away in my bedroom.
   ■ SIMILAR TO: ↑hoard",
1021,"stab","英:/stæb/ 美:/stæb/","- vt. & vi. 刺，扎；刺入，刺伤
- n. 刺，戳，捅，扎
- 刺痛

时 态:  
stabbed，stabbing，stabs 

名 词:  
stabber",
1022,"stabilizer","英:/'steɪbɪlaɪzə/ 美:/'stebə'laɪzɚ/","- n. 安定装置;安定翼
- 有安定作用之人(或物)
- 稳定者",
1023,"stagnant","英:/'stægnənt/ 美:/'stægnənt/","adj. 停滞的；污浊的；不景气的；迟钝的


名 词:  
stagnancy

副 词:  
stagnantly",
1024,"stalk","英:/stɔːk/ 美:/stɔk/","- n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
- vt. 追踪，潜近；高视阔步
- vi. 高视阔步地走；潜近，偷偷接近


时 态:  
stalked, stalking, stalks 

形容词:  
stalky

名 词:  
stalker",
1025,"stances","/stɑ:ns/","n. 步型；姿态（stance的复数）",
1026,"staple","英:/'steɪp(ə)l/ 美:/'stepl/","- n. 主要产品；钉书钉；主题；主食
- vt. 用钉书钉钉住；把……分级
- adj.主要的，大宗生产的；常用的；纺织纤维的

时 态:  
stapled, stapling, staples",
1027,"startle","英:/'stɑːt(ə)l/ 美:/'stɑrtl/","- vt. 使吓一跳；使惊奇
- vi. 惊吓；惊跳；惊奇
- n. 惊愕；惊恐


时 态:  
startled, startling, startles 

副 词:  
startlingly",
1028,"statement","英:/'steɪtm(ə)nt/ 美:/'stetmənt/","- n. 声明, 陈述
- 结算单, 报表",
