单词,解释
supperless,"adj. 未吃晚饭的,没有晚饭的"
supplementary,adj. 增补的; 补充的
surmount,"- vt. 战胜；克服(困难)
- 居于…之上，在…顶上

时 态:  
surmounted，surmounting，surmounts 

形容词:  
surmountable"
surname,"- n. 姓，姓氏；绰号，别名
- vt. 给…起别名；给…姓氏


时 态:  
surnamed, surnaming, surnames"
surround,"- vt. 围绕；包围
- n. 围绕物
- adj. 环绕立体声的


时 态:  
surrounded, surrounding, surrounds"
suspicion,"- n. 怀疑, 嫌疑
- 疑心, 猜疑
- 一点儿, 少量

时 态:  
suspicioned, suspicioning, suspicions"
suspicious,"- adj. 猜疑的, 疑心的
- 可疑的
- 表示怀疑的

副 词:  
suspiciously"
swath,n. 细长的列；收割的刈痕；收割的宽度
swirl,"- n. 漩涡；打旋；涡状形
- vi. 盘绕；打旋；眩晕；大口喝酒
- vt. 使成漩涡


时 态:  
swirled, swirling, swirls 

形容词:  
swirly"
switch to,转变
symbiotic,adj. 共生的
syndrome,"- n. 综合征
- (某种条件下有共同特征的)一系列表现(事件、举动等)

形容词:  
syndromic"
synthesize,"- vt. 综合, 使合成
- 人工合成

时 态:  
synthesized, synthesizing, synthesizes"
synthetically,"- adv. 综合地
- 以合成方法"
tacit,"- adj. 缄默的,不说话的
- 暗示的,不言而喻的
- 不明言的,默许的
- 由法律的效力而产生的,法定的

副 词:  
tacitly"
taciturn,"adj. 沉默寡言的,不爱说话的

名 词:  
taciturnity

副 词:  
taciturnly"
tailor,"tailor
  [tailored, tailored, tailoring]
 tailor to 
     tailor sth to sb/sth to make something so that it is exactly right for what a particular person, organization etc needs or wants:
   ▪ GHN Consultants will create a personal development programme that is tailored to the individual requirements of each individual executive."
tailored,"- adj. 裁缝做的；剪裁讲究的；定做的
- v. 裁制；调整使适应（tailor的过去式和过去分词）"
take the plunge,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
taken,(take的过去分词)
tan,"- n. 黄褐色, 棕黄色
- vt. & vi. (使)晒成棕褐色
- vt. 硝制(皮革)
TANabbr. total ammonia nitrogen 总氨氮

时 态:  
tanned, tanning, tans 

形容词:  
tannish"
tangent,"- adj. 切线的，相切的；接触的；离题的
- n. 切线，正切"
teachings,说
tear-out,撕下
techniques,经营技巧
telecommute,"vi. (在家里通过使用与工作单位连接的计算机终端)远距离工作

时 态:  
telecommuted, telecommuting, telecommutes  

名 词:  
telecommuter"
tempest,"- n. 暴风雨；骚动；动乱
- vt. 使狂怒；扰乱，使激动
- vi. 小题大作；起大风暴


时 态:  
tempested, tempesting, tempests"
tempest-tossed,"adj. 受暴风雨戏弄的,连遭打击的"
tempting,"- adj. 吸引人的,诱人的
- adv. 吸引人地,诱人地

副 词:  
temptingly"
tenor,"- n. 男高音；要旨，大意；票据的限期；稳定的进程
- adj. 男高音的"
tentative,"adj. 试探性的; 试验的; 尝试性的

副 词:  
tentatively

名 词:  
tentativeness"
terminology,"- n. 专门用语；术语；术语学
- 术语的正确使用, 术语用法

形容词:  
terminological"
terrifically,adv. 非常;极其
terrify,"vt. 使害怕；使恐怖；恐吓


时 态:  
terrified, terrifying, terrifies"
testify,"testify
  [testified, testified, testifying]
 testify to 
     testify to sth to show clearly that something is definitely true:
   ▪ The growing number of empty shops in the High Street testify to the depth of the recession.
   ▪ He'd been drinking again - his whole behaviour and appearance testified to that.
   ■ SIMILAR TO: be evidence of sth"
tetrahedron,n. 四面体
textured,"adj. 织地粗糙的,手摸时有感觉的,有织纹的"
the,"- art. 这；那
- adv. 更加（用于比较级，最高级前）

THEabbr. Technical Help to Exporters 出口商的技术协助"
theater,n. 电影院，戏院，剧场；戏剧；手术室
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
theatrical,"- adj. 戏剧的；剧场的
- 炫耀的；戏剧性的；演戏似的；不自然的

名 词:  
theatricality

副 词:  
theatrically"
theorem,"- n. (尤指数学)定理；命题
- 原理,原则"
"This really begs the question what the actual irreducible amount of real information in a particular block of data re- ally is; many messages, political speeches, and even sometimes book chapters, contain large amounts of extraneous padding that is not really needed.","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
thoroughly,"- adv. 彻底地；认真仔细地
- 完全地；非常，极其"
thrash,"thrash
  [thrashed, thrashed, thrashing]
 thrash about/around 
     thrash about/around to move from side to side and move your arms around in a violent and uncontrolled way:
   ▪ Just at that moment the girl began to moan and thrash about, her pain suddenly returning.
   ▪ I rushed to the side of the bridge, and could just make out someone thrashing around in the water below
   ■ SIMILAR TO: ↑flail around
 thrash out 
     thrash out sth • thrash sth out to find the answer to a problem, reach an agreement, produce an idea etc, by discussing something in detail and for a long time:
   ▪ The two sides met in an attempt to thrash out their problems.
   ▪ The Prime Minister and his cabinet were today continuing their meeting aimed at thrashing out a spending plan for the coming year.
   ■ SIMILAR TO: ↑hammer out"
throw,"throw
  [threw, thrown, throwing]
 throw aside 
     throw aside sth • throw sth aside to suddenly get rid of an old idea, belief, or feeling that you had:
   ▪ We must throw aside the old prejudices and learn to live with our former enemies.
   ▪ Throwing aside their loyalty to Tsar Nicholas, many officers changed sides and joined the Revolution.
   ■ SIMILAR TO: ↑cast aside
 throw at 
     throw yourself at sb informal to try very hard to attract someone's attention and show them that you want to have a sexual relationship with them.:
   ▪ She'd thrown herself at that man, Henchard, and made a complete fool of herself.
 throw away 
  1.   throw away sth • throw sth away to get rid of something that you do not want or need:
   ▪ I shouldn't have thrown away the receipt.
   ▪ Do you want to keep these catalogues, or shall I throw them away?
   ▪ I can't find Corrie's letter - I must have thrown it away.
   ■ SIMILAR TO: ↑chuck out  informal, ↑throw out
    throwaway adj  only before noun a throwaway product is one that can be thrown away after it has been used:
   ▪ soft drinks in throwaway bottles
    throwaway society n  singular a society in which products are designed to be thrown away after a short time, so that a lot of things are wasted:
   ▪ We live in a throwaway society. Why repair things when it's so cheap to replace them?
  2.   throw away sth • throw sth away to waste an opportunity or lose an advantage - used when you think someone is silly if they do this:
   ▪ This could be the best chance you've ever had - don't throw it away.
   ▪ It would be foolish to throw away all that we have achieved over the past five years.
   ▪ In a brief fit of carelessness, United threw away their two goal lead.
 throw back 
     throw back sth • throw sth back informal to drink all of an alcoholic drink quickly:
   ▪ Ted threw back three shots of whiskey before we had even ordered dinner.
   ▪ She poured herself a brandy, threw it back and poured out another.
   ■ SIMILAR TO: ↑knock back  informal
 throw back at 
     throw sth back at sb • throw back sth at sb to criticize someone by reminding them of something dishonest, wrong, or stupid that they said or did in the past:
   ▪ George Bush had said &quot;No new taxes.&quot; It was a promise that the President's critics would throw back at him repeatedly in the years to come.
 be thrown back on 
    be thrown back on sth/sb to be forced to rely or depend on something or someone because of a change in your situation:
   ▪ Homeless and jobless, Joss was thrown back on what little support his parents could offer.
   ▪ When you are out there on your own, you're thrown back on your own resources and you have to learn to cope.
 throw down 
  1.  throw down a challenge/the gauntlet to invite someone to argue, fight, or compete against you:
   ▪ The National Union of Miners had thrown down a challenge to the government.
   ▪ After lunch Marcia threw down the gauntlet and challenged me to a game of tennis.
   ■ SIMILAR TO: ↑lay down, challenge
  2.  throw down your weapons/arms etc if soldiers throw down their weapons, they stop fighting, usually because they have been defeated:
   ▪ Realizing that their situation was hopeless, the rebels threw down their arms and surrendered.
 throw in 
  1.   throw in sth • throw sth in to include more things with the thing that you are selling to someone, without increasing the price:
   ▪ The person selling the house may offer to throw in carpets and curtains as part of the deal.
   ▪ The price includes two nights in a three-star hotel, with breakfast and a sight-seeing tour thrown in.
  2.   throw in sth • throw sth in to add something to a performance, a story, an idea etc in order to improve it or make it more interesting:
   ▪ We could throw in a song or two to liven up the performance.
   thrown in for good measure (=added to get the result that is wanted)
   ▪ It's basically a detective story with a little sex thrown in for good measure.
  3.  throw in your lot with sb/throw your lot in with sb especially BrE to decide to support someone and work with them, so that your future depends on their future:
   ▪ At first Italy remained neutral, but in 1915 she threw in her lot with the allies and entered the war.
   ▪ former socialists who had thrown their lot in with the conservatives
  4.   throw in sth • throw sth in to add a remark or piece of information during a conversation, speech etc:
   ▪ We were all wishing Debbie luck - even her old rival, Kay Jones, threw in a word or two of encouragement.
  5.   throw in sb/sth • throw sth/sb in to send soldiers into a battle that has already started:
   ▪ General Rawlinson continued to throw in his troops, and by midday 100,000 men were involved in the battle.
  6.   throw in sb • throw sb in to put a new player into a team immediately before or during a match:
   ▪ So many of our players had injury problems that we had to throw in four new lads from the reserves.
  7.   throw in sth • throw sth in BrE if you throw in a job, you leave, especially when you are not going to start another job:
   ▪ She threw in a good job with an insurance company just so she could follow her boyfriend out to Hawaii.
   ■ SIMILAR TO: ↑quit, ↑pack in  spoken, ↑chuck in  BrE informal
 throw in/into 
     throw sb in/into sth  usually passive to put someone in prison, especially before they have been judged in a court of law
   be thrown in jail/prison
   ▪ Anyone caught selling liquor was likely to get thrown in jail.
   ▪ Many of the rioters were arrested and thrown into prison.
 throw into 
  1.  throw sb into confusion/panic to make people feel very confused, afraid etc:
   ▪ Everyone was thrown into confusion by the news of Gandhi's death.
   ▪ Within days Hungary was in revolt and the Soviet leadership was thrown into panic.
  2.  throw sth into turmoil/chaos/disarray to suddenly make something very confused and badly organized:
   ▪ A failure of the computer system threw London's ambulance service into chaos.
   ▪ The world's money markets were thrown into turmoil last night.
   ■ SIMILAR TO: plunge sth into
  3.  throw sth into doubt/question/uncertainty to suddenly make people uncertain whether something is true, or whether something will happen:
   ▪ These shocking events throw into doubt the whole future of the Olympic Games.
  4.  throw yourself into sth to start doing an activity or job eagerly and with a lot of effort:
   ▪ Now Julia threw herself into her work, staying up late every night.
 throw off 
  1.   throw off sth • throw sth off to remove a piece of clothing quickly and carelessly:
   ▪ She threw off her clothes and stepped into the shower.
   ■ SIMILAR TO: ↑rip off
  2.  throw off the yoke/shackles/chains literary to get free from something that has been limiting your freedom:
   ▪ Russia has at last thrown off the shackles of communism.
   ▪ nations that were struggling to throw off the yoke of colonial rule
  3.   throw off sth • throw sth off BrE to succeed in getting rid of an illness that is not very serious:
   ▪ I've had this cold for a several weeks and I can't seem to throw it off.
   ▪ She's taken a long time to throw off the illness, and she's still not fully fit.
   ■ SIMILAR TO: get rid of, ↑shake off
  4.   throw off sth • throw sth off to succeed in getting rid of a problem or an unpleasant feeling that has been having a bad effect:
   ▪ Carnival is a time to throw off your worries and dance the night away.
   ▪ The city has been making great efforts to throw off its negative image.
   ■ SIMILAR TO: get rid of, ↑shake off
 throw on 
     throw on sth • throw sth on to put on a piece of clothing quickly and carelessly:
   ▪ Throwing on a dressing-gown, I stumbled downstairs to open the door.
 throw out 
  1.   throw out sth • throw sth out to get rid of something that you do not want or do not need:
   ▪ We threw out lots of stuff when we moved house.
   ▪ Do you think I should throw these roses out? They're dead aren't they?
   ▪ I hope you haven't thrown out yesterday's paper - there was something I wanted to read.
   ■ SIMILAR TO: ↑throw away, ↑chuck out  informal
  2.   throw sb out • throw out sb informal to force someone to leave a house, school, job, organization etc:
   ▪ We can't throw him out in this kind of weather - he's nowhere else to go.
   +of
   ▪ Wayne was thrown out of school for taking drugs.
   ▪ Pop star James Atkin was thrown out of a hotel after his band, EMF, held a wild party there.
   be thrown out of work (=lose your job)
   ▪ Hundreds of men were thrown out of work when Smith's shipyard closed on Teesside.
   ■ SIMILAR TO: ↑kick out, ↑boot out  informal
  3.   throw out sth • throw sth out if a parliament, a committee, or a court of law throws out a plan, suggestion, claim etc they refuse to accept it or make it legal:
   ▪ The Senate had thrown out a bill for welfare reform the previous year.
   ▪ Claims against British tobacco companies have been thrown out by the courts.
   ■ SIMILAR TO: reject, ↑turn down
  4.   throw out sth • throw sth out BrE to produce large amounts of heat, light, smoke etc and send it out in all directions:
   ▪ These electric radiators throw out a lot of heat.
   ▪ Some of the bigger candles can throw out a lot of light.
   ■ SIMILAR TO: ↑give off
 throw over 
     throw sb over • throw over sb to end a romantic relationship with someone:
   ▪ They'd been going out together for about a year when he threw her over for someone else.
   ■ SIMILAR TO: ditch, ↑dump
 throw overboard 
     throw sth overboard • throw overboard sth to completely get rid of an idea or system that seems useless or unnecessary:
   ▪ By 1949 Stalin had thrown overboard all thoughts of negotiating with the West.
   ▪ The Labour Party's old principles of socialism were thrown overboard in the scramble to get elected.
   ■ SIMILAR TO: ↑abandon, ditch
 throw to 
    throw sb to the lions/wolves/sharks etc
  to kill someone by feeding them to wild animals:
   ▪ In ancient Rome, the Emperor Nero threw Christians to the lions.
   ▪ When galley slaves were too weak to row, they were thrown to the sharks.
  to deliberately put someone into a situation where they will be severely criticized or punished:
   ▪ Clinton knew that if his supporters deserted him, he would be thrown to the wolves.
 throw together 
  1.   throw sth together • throw together sth to produce something quickly without planning it carefully, using whatever things you have available:
   ▪ I'm afraid it isn't much of a meal - just something I threw together while you were unpacking.
   ▪ cheap little houses thrown together by some builder for a quick profit
   ▪ Charlie had thrown the show together at short notice.
   ■ SIMILAR TO: ↑put together, ↑cobble together
  2.   throw sb together • throw together sb  usually passive if a situation throws people together, they meet and get to know each other because of the situation they are both in:
   ▪ This is the story of a beautiful young heiress and a poor country boy who are thrown together on a transatlantic voyage.
 throw up 
  1.   throw up sth • throw sth up especially BrE if something throws up new ideas, new problems or new people, it produces them:
   ▪ The report throws up some interesting questions.
   ▪ The newborn British rock culture was throwing up great performers like Cliff Richard.
  2.   throw up • throw up sth • throw sth up informal to bring food or drink up from your stomach and out through your mouth, because you are feeling ill:
   ▪ The smell was so disgusting, it made you want to throw up.
   ▪ My stomach clenched and I threw up my dinner.
   ■ SIMILAR TO: vomit, be sick, ↑puke up  informal
  3.   throw up sth • throw sth up to quickly build or make something such as a wall or fence:
   ▪ Citizens threw up barricades around the Kremlin.
   ▪ Thames Valley Police threw up roadblocks on the stretch of motorway leading to the airport.
   ■ SIMILAR TO: ↑put up, erect  formal
  4.   throw up sth • throw sth up BrE informal to suddenly leave a job or a course of study, especially when you are not going to start another job or course of study:
   ▪ He threw up a good job, sold his house, and went off to join one of these religious cults.
   ▪ You have a brilliant future to look forward to. It would be crazy to throw it all up now.
   ■ SIMILAR TO: ↑chuck in  BrE informal, ↑jack in  BrE informal
  5.   throw up sth • throw sth up to make dust, sand, water etc rise into the air, by driving or running over it:
   ▪ Khalil saw a truck approaching, throwing up huge dust-clouds as it bumped along the rutted track."
thrush,"- n. (有褐灰色斑点的)画眉鸟
- 演唱流行歌曲的女歌手
- 霉菌性口炎,鹅口疮
- (马的)蹄叉腐疽"
tight,"- adj. 牢的；紧的
- 紧身的，紧贴的
- (安排)紧凑的，紧密的
- 不漏的，不透的
- 银根紧的，难借得到的

比较级:  
tighter，tightest 

副 词:  
tightly

名 词:  
tightness"
tips,"n. 秘诀，技巧；小贴士，小窍门

TIPSabbr. Technical Information Processing System 技术情报处理系统
TIPSabbr. Technical Information Processing System 〈美〉技术情报处理系统"
tirelessly,"- adv. 不知疲倦地
- 不屈不挠地;坚忍地"
to,"- adv. 向前；（门等）关上
- prep. 向；到；（表示时间、方向）朝…方向

TOabbr. Technical Observer 技术观察员"
topography,"- n. 地形学,地形测量学
- 地形,地貌,地势

名 词:  
topograph

形容词:  
topographic"
torpedo,"- n. 鱼雷；水雷；油井爆破筒；[鱼]电鳐；[俚]职业杀手
- vt. 破坏；用鱼雷袭击"
toss,"toss
  [tossed, tossed, tossing]
 toss around 
  1.   toss sth around/about • toss around/about sth  usually passive to move or shake something in a rough and often violent way. Use this especially to talk about something being shaken by the power of the sea or the wind:
   ▪ The little boat was tossed around by the waves.
   ▪ The plane was tossed about by the storm.
  2.   toss sth around/about • toss around/about sth to talk about a plan, idea, or suggestion, usually without considering it in a serious way:
   ▪ Ken and I had tossed around the idea of visiting Greece this summer, but in the end we decided that it would be too expensive.
   ■ SIMILAR TO: ↑play with, ↑toy with
  3.   toss sth around/about • toss around/about sth if people toss a ball or other object around, they throw it to each other for fun:
   ▪ The kids went outside and started tossing a football around.
  4.   toss sth around/about • toss around/about sth to use a word or phrase without thinking carefully about what it means, especially by saying that someone or something is much more important or better than they really are:
   ▪ People often toss around world like &quot;genius&quot; and &quot;living legend&quot;, but in his case they're all true.
   ■ SIMILAR TO: ↑bandy about/around
 toss back 
  1.   toss back sth • toss sth back to drink something very quickly, especially alcohol:
   ▪ His friends had been tossing back beers all day.
   ■ SIMILAR TO: ↑toss down, ↑knock back, ↑drink
  2.  toss back your head if you toss your head back, you move your head backwards suddenly, because you are laughing or upset:
   ▪ He read the letter, then tossed back his head and laughed.
   ▪ Tossing her head back defiantly, Tina refused to admit she was wrong.
  3.  toss back your hair if you toss back your hair, you move your head so that your hair is no longer in front of your face:
   ▪ Kelly tossed back her hair and leaned forward to read the article.
 toss down 
     toss down sth • toss sth down to drink something very quickly, especially alcohol:
   ▪ Before going home, Brandon managed to toss down four more shots of vodka.
   ■ SIMILAR TO: ↑toss back, ↑knock back, ↑drink
 toss for 
     toss for sth • toss sb for sth if two people toss for something, they decide who can do or have something by throwing a coin in the air, and trying to guess which side will be on top when it lands:
   ▪ The two teams tossed for the kick-off.
   ▪ &quot;Who gets the last piece of cake?&quot; &quot;I'll toss you for it.&quot;
   ■ SIMILAR TO: ↑flip for  AmE, ↑toss up  BrE
 toss off 
  1.   toss off sth • toss sth off to produce something quickly and without much effort:
   ▪ Some writers seem to be able to toss off a new book every few months.
   ■ SIMILAR TO: ↑knock off, ↑knock out
  2. toss off • toss yourself off BrE informal if a boy or man tosses off, he makes himself sexually excited by rubbing his sexual organs:
   ▪ Kevin was tossing off over a porn mag, when he looked up and saw Neil and Rhys spying at the window.
   ■ SIMILAR TO: masturbate, ↑jack off  AmE informal
    toss sb off BrE informal to make a boy or man sexually excited by rubbing his sexual organs:
   ▪ &quot;I'll toss you off for a tenner,&quot; the prostitute offered.
   ■ SIMILAR TO: masturbate, ↑jack off  AmE informal
 toss up 
     toss up BrE if two people or teams toss up for something, they decide who will do or have something by throwing a coin in the air, and trying to guess which side will be on top when it lands:
   ▪ They tossed up to see who would play first.
   ▪ Why don't we toss up for it? If you win, you get to keep the money.
   ■ SIMILAR TO: ↑toss for, ↑flip for  AmE
    toss-up n  C usually singular when you do not know which of two things to choose, or when you cannot say which of two things are better or more successful because they seem very equal:
   ▪ It was a toss-up between the chocolate ice cream and the vanilla sundae, and I finally chose the chocolate ice cream."
tough,"tough
  [toughed, toughed, toughing]
 tough out 
    tough it out to deal with a difficult situation or strong opposition by being very determined and refusing to give up:
   ▪ Despite all the protests Marcos tried to tough it out, thinking that the Americans would support him."
trace,"trace
  [traced, traced, tracing]
 trace out 
  1.   trace out sth • trace sth out to mark or write something carefully and clearly:
   ▪ I got out the map and traced out the route that we would have to take.
  2.   trace out sth • trace sth out formal to describe and explain clearly something that is complicated, in order to understand it or make it clear to other people:
   ▪ In his book he traces out the latest theories about how the mind works."
trade-off,"trade off
  1.   trade off sth • trade sth off to balance one thing against another when you are trying to decide what is the best or most acceptable thing to do
   + against
   ▪ You have to trade off the increased viewing charges against the number of new channels you can watch.
   ■ SIMILAR TO: ↑balance
    trade-off n  C an acceptable balance between two or more opposing things:
   ▪ the trade-off between leisure and work
  2.   trade off sth • trade sth off to give something up, or accept something you do not want in order to have something that is more important:
   ▪ Israel may have to trade off some of its territorial gains in order to secure a lasting peace in the Middle East.
   ■ SIMILAR TO: ↑give up, concede
    trade-off n  C something that you have to accept in order to have something else that you do want and that is more important:
   ▪ Binder tolerates inflation as a trade-off for healthy economic growth."
tragic,adj. 悲剧的；悲痛的，不幸的
trailblazer,"n. 开路的人,先驱者,开拓者"
trailer,"- n. 预告片；拖车；追踪者
- vi. 乘拖车式活动房屋旅行
- vt. 用拖车载运


时 态:  
trailered, trailering, trailers 

形容词:  
trailerable"
trajectory,"- n. 弹道，轨迹；轨道
- 轨线；常角轨道"
transient,adj. 短暂的; 片刻的; 转瞬即逝的
transit,"n. 运输；经过；[天文]凌日；[天文]中天；[占星]凌；公共交通客运
vt. 运送
vi. 经过；[天文]（行星等天体）经过（另一天体、子午线）；[占星]（天体）经过（黄道十二宫之一、住宅或星图区域）

时 态:  
transited, transiting, transits"
transpacific,"adj. 横渡太平洋的,太平洋彼岸的"
transparent,"- adj. 透明的
- 含义清楚的, 显而易见的

副 词:  
transparently"
transversal,"- adj. 横向的,横断的,截线的
- n. 截线,横肌"
trapped,"- adj. 陷入困境的；受到限制的；捕获的；收集的
- vt. 诱捕（trap的过去分词）"
tray,"- n. 盘子, 托盘
- 文件盘"
treatment,"- n. 处理；对待，待遇
- 治疗；疗法"
trial and error,"尝试错误法；反复试验


形容词:  
trial-and-error"
trim,"trim
  [trimmed, trimmed, trimming]
 trim down 
  1.   trim down to reduce your weight by eating less and exercising
   + to
   ▪ Jim started exercising and eating low-calorie food, and trimmed down to less than 150 lbs.
   ■ SIMILAR TO: ↑slim down
  2.   trim sth down • trim down sth to reduce the size, number, or amount of something:
   + to
   ▪ The new edition of the book was trimmed down to just eighty-two pages.
   ▪ Noriega merged the two organizations and trimmed them down to twenty-two employees.
   ■ SIMILAR TO: ↑cut down
    trimmed-down adj  only before a noun reduced in size, number, or amount:
   ▪ a trimmed- down version of the original
 trim off 
     trim off sth • trim sth off to cut small pieces off something because they are not needed or in order to make something look neater:
   ▪ Cut the chicken into thin strips and trim off any fat.
   ▪ I asked the hairdresser to trim an inch off all round.
   ■ SIMILAR TO: ↑cut off"
trip,"trip
  [tripped, tripped, tripping]
 trip out 
  1.   trip out • trip sb out AmE spoken informal if you trip out or something trips you out because of something, it seems very strange or surprising to you:
   ▪ I started saying some things in Russian, and she just tripped out.
   ▪ The whole thing is so weird, it really trips me out.
   ■ SIMILAR TO: ↑freak out  informal
  2.   trip out AmE informal to experience strange things in your mind because of the effects of an illegal drug:
   ▪ Sally tripped out for 8 hours after taking LSD for the first time.
 trip over 
  1.   trip over sth • trip over to fall or nearly fall because you hit your foot against something on the ground:
   ▪ Apparently he'd tripped over a fallen branch, breaking his arm.
   ▪ Lilly lost her balance, tripped over and landed in a pile of leaves.
   ■ SIMILAR TO: ↑trip up, ↑fall over
  2.  trip over your words to make mistakes when you are speaking because you are nervous or excited, for example by not saying words clearly, or by repeating words:
   ▪ Simon continued his story, tripping over his words in his excitement.
  3.  be tripping over yourself/each other to do sth if people are tripping over themselves to do something, they are very eager to do it, especially when this seems very surprising:
   ▪ Suddenly everyone in Washington was tripping over themselves to praise Flynt.
   ■ SIMILAR TO: be falling over yourself
 trip up 
  1.   trip up • trip sb up • trip up sb especially BrE to fall or nearly fall, especially because you hit your foot against something on the ground, or to make someone do this:
   ▪ The path's very uneven - careful you don't trip up.
   ▪ Someone put out a foot and tripped the boy up as he was trying to escape.
   trip up on sth
   ▪ She tripped up on a branch which sent her flying into the bushes.
  2. trip sb up • trip up sb to deliberately cause someone to make a mistake, especially by making them say something that they did not intend or want to say:
   ▪ I wondered why the police had asked me that again. Were they trying to trip me up?
   ■ SIMILAR TO: ↑catch out
    trip up to make a mistake, especially by saying something that you did not intend or want to say:
   ▪ Sally realized that she would have to be more careful, or she could easily trip up in conversation."
triple,"- adj. 三倍的；三方的
- n. 三倍数；三个一组
- vi. 增至三倍
- vt. 使成三倍


时 态:  
tripled, tripling, triples"
trot,"trot
  [trotted, trotted, trotting]
 trot off 
     trot off informal to leave or go somewhere walking quite quickly:
   ▪ Joe trotted off and came back a couple of minutes later holding a parcel.
   ▪ Each weekday I trotted off to meet my father from his work.
 trot out 
     trot out sth • trot sth out to repeat something without thinking about it and without being sincere:
   ▪ I couldn't believe it when she trotted out the same old excuse again.
   ▪ Politicians always trot out the same old clichés when they're being interviewed."
truce,"- n. 休战；停战；休战协定
- vt. 以休战结束；停止争执
- vi. 停战


时 态:  
truced, trucing, truces"
truncate,"- adj. 截短的；被删节的
- vt. 把…截短；缩短；[物]使成平面


时 态:  
truncated, truncating, truncates 

名 词:  
truncation"
turgescent,"adj. 肿的,浮夸的"
turn out,"turn out
  1.  turn out the light/turn the light out to make an electric light stop working, by pressing a switch:
   ▪ Don't forget to turn out the lights when you come to bed.
   ■ SIMILAR TO: ↑turn off, ↑switch off, ↑put out
   ■ OPPOSITE: turn on
  2.   turn out to happen in a particular way or have a particular result
   turn out fine/well
   ▪ Don't worry about the interview, it'll all turn out fine.
   turn out to be
   ▪ The holiday turned out to be the best we've ever had.
   ■ SIMILAR TO: ↑work out
  3.   turn out if something turns out to be true, you find that it is true, although this is surprising:
   ▪ I felt terrified about going to see my bank manager, but he turned out to be highly sympathetic.
   it turns out (that)
   ▪ During the discussion it turned out that every one of the students in the room had tried cannabis.
   as it turned out
   ▪ As it turned out, Jane knew all about the affair anyway.
  4.   turn out if a child turns out in a particular way, that is the type of person they become:
   ▪ The Hedges were such an odd family, but all of the children had turned out perfectly normal.
   turn out to be
   ▪ Although very shy as a child, he eventually turned out to be a natural leader.
  5.   turn out if people turn out for an event, they go to watch it or take part in it:
   + for
   ▪ Over 200 parents turned out for the school sports day.
   ▪ On Saturday only a few hundred people turned out to see the game.
    turn-out n  C the number of people who come to watch an event or take part in it:
   ▪ The turnout for the election was about 70%..
  6.   turn out sth • turn sth out to make or produce something, especially in large quantities:
   ▪ Toyota's new factory will turn out 100,000 pick-up trucks a year.
   ▪ Russia turns out more graduate engineers than any other country in the world.
   ■ SIMILAR TO: produce, ↑churn out
  7.   turn sb out • turn out sb to force someone to leave a place, especially a place where they are living:
   ▪ The building was sold, and hundreds of homeless people were turned out on to the streets.
   + of
   ▪ Many farm workers lived in fear of being turned out of their homes.
   ■ SIMILAR TO: ↑throw out
  8.   turn sth out • turn out sth to remove something from the container in which it has been made or kept:
   ▪ Allow the cake to cool in the tin, and then turn it out onto a plate.
   ■ SIMILAR TO: ↑empty out
  9.   turn out sth • turn sth out BrE if you turn out a cupboard, pocket or other container, you empty it in order to clean and tidy it or see what is in it:
   ▪ I'm going to turn out all the kitchen cupboards next weekend.
   ▪ The teacher told us to turn out our pockets in front of her.
    turnout n  C BrE when you clean and tidy a room, cupboard etc and throw away the things you do not want:
   ▪ This room's such a mess - it needs a thorough turnout.
  10.  be well/beautifully/nicely etc turned out BrE to be wearing good, beautiful etc clothes:
   ▪ The music was wonderful and the choir was beautifully turned out."
turtle,"n. 海龟；龟，甲鱼


时 态:  
turtled, turtling, turtles 

名 词:  
turtler"
tutor,"- n. 导师
- 家庭教师, 私人教师

时 态:  
tutored, tutoring, tutors"
tweezers,n. 镊子；小钳子（tweezer的复数形式）
twist,"- vt. 捻；拧；扭伤；编织；使苦恼
- n. 扭曲；扭伤；拧
- vi. 扭动；弯曲


时 态:  
twisted, twisting, twists 

形容词:  
twistable

形容词:  
twisty"
twitter,"- vi. (鸟)叽叽喳喳地叫
- (人因兴奋)嘁嘁喳喳地讲；喋喋不休
- 格格地笑
- (激动得)抖颤
- vt. (鸟等)吱吱叫，啁啾地唱出
- 唧唧喳喳地讲述
- 颤动；抖动
- n. (鸟)叽叽喳喳的叫声
- 格格的笑声
- 兴奋，颤抖

时 态:  
twittered，twittering，twitters 

形容词:  
twittery"
typo,n. [口]排印错误；排字工；印刷工
under the hood,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
underdog,"n. 失败者,受压迫者"
underlie,"- vt. 位于或存在于(某物)之下
- 构成…的基础(或起因)；引起

时 态:  
underlay 
underlain 
underlying，underlies"
underlying,"- adj. 根本的, 基础的
- 含蓄的, 潜在的"
